ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,TX,SOMERVELL,662,"$3,416 ","$1,774 ", $- ,$342 , $- , $- ,$62 ,"$1,238 ",192
16,TX,STARR,779,"$11,359 ","$7,038 ", $- ,$475 , $- , $- ,$38 ,"$3,808 ",366
16,TX,STEPHENS,543,"$3,725 ","$1,955 ", $- ,$117 , $- , $- ,$14 ,"$1,638 ",184
16,TX,STERLING,49,$439 ,$260 , $- ,$12 , $- , $- , $- ,$168 ,17
16,TX,STONEWALL,129,$529 ,$207 , $- ,$15 , $- , $- ,$0 ,$306 ,33
16,TX,SUTTON,185,"$1,787 ",$707 , $- ,$50 , $- , $- ,$6 ,"$1,023 ",50
16,TX,SWISHER,394,"$3,646 ","$1,753 ", $- ,$56 , $- , $- ,$5 ,"$1,832 ",158
16,TX,TARRANT,"120,509","$832,863 ","$475,767 ", $- ,"$109,649 ", $- ,$179 ,"$6,663 ","$240,606 ","29,153"
16,TX,TAYLOR,"11,928","$122,336 ","$78,409 ", $- ,"$13,847 ", $- , $- ,$707 ,"$29,374 ","3,573"
16,TX,TERRELL,116,$927 ,$582 , $- ,$30 , $- , $- , $- ,$315 ,30
16,TX,TERRY,482,"$2,974 ","$1,949 ", $- ,$82 , $- , $- ,$52 ,$892 ,135
16,TX,THROCKMORTON,132,$637 ,$435 , $- ,$34 , $- , $- ,$3 ,$165 ,19
16,TX,TITUS,"1,631","$10,263 ","$6,519 ", $- ,$472 , $- , $- ,$94 ,"$3,179 ",372
16,TX,TOM GREEN,"10,058","$80,800 ","$49,557 ", $- ,"$7,066 ", $- , $- ,$594 ,"$23,583 ","2,705"
16,TX,TRAVIS,"52,449","$1,578,332 ","$222,463 ","$3,024 ","$59,585 ","$1,126,987 ","$37,853 ","$5,130 ","$123,290 ","14,231"
16,TX,TRINITY,"1,484","$13,900 ","$7,501 ", $- ,$362 , $- , $- ,$128 ,"$5,908 ",464
16,TX,TYLER,"1,653","$14,534 ","$8,290 ", $- ,$479 , $- , $- ,$85 ,"$5,680 ",615
16,TX,UPSHUR,"3,033","$22,052 ","$12,248 ", $- ,"$1,031 ", $- , $- ,$103 ,"$8,670 ","1,016"
16,TX,UPTON,159,"$1,176 ",$759 , $- ,$104 , $- , $- ,$10 ,$303 ,66
16,TX,UVALDE,"1,176","$13,294 ","$7,804 ", $- ,$646 , $- , $- ,$42 ,"$4,801 ",438
16,TX,VAL VERDE,"3,215","$27,951 ","$19,130 ", $- ,"$2,247 ", $- , $- ,$64 ,"$6,510 ",850
16,TX,VAN ZANDT,"4,094","$32,478 ","$17,361 ", $- ,"$1,321 ", $- , $- ,$176 ,"$13,620 ","1,237"
16,TX,VICTORIA,"6,572","$44,396 ","$29,168 ", $- ,"$2,093 ", $- , $- ,$394 ,"$12,741 ","1,735"
16,TX,WALKER,"3,724","$25,464 ","$13,827 ", $- ,"$3,491 ", $- , $- ,$239 ,"$7,907 ",973
16,TX,WALLER,"2,192","$12,203 ","$5,006 ", $- ,$944 , $- , $- ,$35 ,"$6,218 ",611
16,TX,WARD,699,"$4,377 ","$2,402 ", $- ,$98 , $- , $- ,$6 ,"$1,871 ",158
16,TX,WASHINGTON,"2,034","$14,908 ","$9,134 ", $- ,$832 , $- , $- ,$246 ,"$4,696 ",610
16,TX,WEBB,"5,742","$66,006 ","$43,404 ", $- ,"$3,920 ", $- , $- ,$659 ,"$18,023 ","2,580"
16,TX,WHARTON,"1,991","$17,787 ","$8,659 ", $- ,$477 , $- , $- ,$202 ,"$8,450 ",644
16,TX,WHEELER,278,"$2,489 ","$1,285 ", $- ,$43 , $- , $- , $- ,"$1,160 ",122
16,TX,WICHITA,"11,982","$106,893 ","$80,551 ", $- ,"$9,020 ", $- , $- ,$571 ,"$16,750 ","2,879"
16,TX,WILBARGER,755,"$5,744 ","$4,191 ", $- ,$317 , $- , $- ,$41 ,"$1,195 ",218
16,TX,WILLACY,766,"$9,694 ","$5,640 ", $- ,$454 , $- , $- ,$12 ,"$3,587 ",288
16,TX,WILLIAMSON,"36,043","$269,481 ","$169,415 ", $- ,"$34,098 ", $- , $- ,"$2,091 ","$63,877 ","8,924"
16,TX,WILSON,"4,444","$50,442 ","$32,076 ", $- ,"$3,297 ", $- , $- ,$479 ,"$14,591 ","1,395"
16,TX,WINKLER,375,"$1,744 ",$992 , $- ,$67 , $- , $- , $- ,$685 ,86
16,TX,WISE,"4,696","$29,905 ","$17,498 ", $- ,"$2,193 ", $- , $- ,$119 ,"$10,094 ","1,168"
16,TX,WOOD,"4,364","$32,542 ","$19,358 ", $- ,$848 , $- , $- ,$169 ,"$12,168 ","1,241"
16,TX,YOAKUM,215,"$1,571 ","$1,131 ", $- ,$144 , $- , $- ,$0 ,$296 ,67
16,TX,YOUNG,"1,433","$6,610 ","$4,610 ", $- ,$193 , $- , $- ,$85 ,"$1,721 ",254
16,TX,ZAPATA,358,"$3,851 ","$2,517 ", $- ,$96 , $- , $- ,$21 ,"$1,217 ",152
16,TX,ZAVALA,317,"$3,129 ","$1,767 ", $- ,$91 , $- , $- ,$0 ,"$1,271 ",101
,,,,,,,,,,,,
16,TX,TEXAS (Totals),"1,594,564","$16,117,918 ","$8,433,064 ","$37,786 ","$1,463,403 ","$1,126,987 ","$225,122 ","$116,304 ","$4,715,251 ","479,814"
,,,,,,,,,,,,
16,TX,CONG. DIST (01),"47,723","$357,608 ","$209,350 ", $- ,"$21,355 ", $- , $- ,"$3,032 ","$123,871 ","14,342"
16,TX,CONG. DIST (02),"37,313","$259,422 ","$131,117 ", $- ,"$29,545 ", $- , $- ,"$2,394 ","$96,366 ","8,557"
16,TX,CONG. DIST (03),"39,151","$214,631 ","$133,817 ",$123 ,"$28,106 ", $- , $- ,"$2,980 ","$49,605 ","6,412"
16,TX,CONG. DIST (04),"55,802","$476,803 ","$271,113 ","$1,204 ","$23,712 ", $- , $- ,"$3,496 ","$177,278 ","18,645"
16,TX,CONG. DIST (05),"42,083","$357,736 ","$188,023 ","$5,227 ","$23,233 ", $- , $- ,"$2,686 ","$138,567 ","12,621"
16,TX,CONG. DIST (06),"48,012","$358,617 ","$197,615 ",$133 ,"$37,922 ", $- , $- ,"$2,979 ","$119,968 ","13,336"
16,TX,CONG. DIST (07),"30,422","$229,472 ","$138,381 ", $- ,"$31,235 ", $- , $- ,"$2,531 ","$57,326 ","5,845"
16,TX,CONG. DIST (08),"50,915","$335,043 ","$189,906 ", $- ,"$28,208 ", $- , $- ,"$3,408 ","$113,520 ","12,984"
16,TX,CONG. DIST (09),"26,456","$382,754 ","$120,285 ","$2,943 ","$25,645 ", $- ,"$78,739 ","$2,243 ","$152,899 ","9,117"
16,TX,CONG. DIST (10),"41,333","$288,795 ","$162,247 ",$47 ,"$30,562 ", $- , $- ,"$3,109 ","$92,829 ","10,820"
16,TX,CONG. DIST (11),"49,708","$377,213 ","$211,763 ","$1,061 ","$22,629 ", $- , $- ,"$3,018 ","$138,742 ","14,748"
16,TX,CONG. DIST (12),"56,668","$364,179 ","$207,464 ", $- ,"$43,315 ", $- , $- ,"$2,678 ","$110,723 ","13,537"
16,TX,CONG. DIST (13),"46,590","$430,490 ","$225,646 ","$3,529 ","$21,996 ", $- ,$581 ,"$2,148 ","$176,589 ","16,303"
16,TX,CONG. DIST (14),"50,323","$361,060 ","$203,505 ","$1,018 ","$30,383 ", $- , $- ,"$2,769 ","$123,385 ","13,710"
16,TX,CONG. DIST (15),"31,020","$394,814 ","$251,610 ",$62 ,"$34,484 ", $- , $- ,"$2,420 ","$106,238 ","11,621"
16,TX,CONG. DIST (16),"55,033","$648,409 ","$372,273 ", $- ,"$90,350 ", $- ,"$2,301 ","$3,009 ","$180,475 ","22,081"
16,TX,CONG. DIST (17),"42,209","$535,908 ","$248,353 ", $- ,"$39,850 ", $- ,"$78,950 ","$3,849 ","$164,906 ","15,194"
16,TX,CONG. DIST (18),"28,391","$321,143 ","$121,835 ", $- ,"$27,597 ", $- ,"$3,962 ","$2,225 ","$165,523 ","11,095"
16,TX,CONG. DIST (19),"41,994","$376,700 ","$219,029 ", $- ,"$33,936 ", $- ,$816 ,"$2,796 ","$120,123 ","14,343"
16,TX,CONG. DIST (20),"60,175","$792,888 ","$481,385 ",$0 ,"$92,547 ", $- , $- ,"$5,146 ","$213,810 ","20,034"
16,TX,CONG. DIST (21),"67,625","$1,923,855 ","$472,069 ","$7,863 ","$78,128 ","$1,126,987 ","$47,260 ","$7,023 ","$184,524 ","19,027"
16,TX,CONG. DIST (22),"36,434","$274,972 ","$157,886 ", $- ,"$27,237 ", $- , $- ,"$2,720 ","$87,130 ","8,863"
16,TX,CONG. DIST (23),"47,635","$557,546 ","$365,749 ",$14 ,"$62,499 ", $- , $- ,"$3,551 ","$125,733 ","15,157"
16,TX,CONG. DIST (24),"39,661","$268,606 ","$170,614 ",$394 ,"$37,983 ", $- , $- ,"$3,370 ","$56,245 ","6,881"
16,TX,CONG. DIST (25),"64,618","$621,485 ","$384,883 ", $- ,"$66,813 ", $- , $- ,"$5,015 ","$164,774 ","20,181"
16,TX,CONG. DIST (26),"45,624","$273,010 ","$160,540 ","$2,034 ","$42,857 ", $- , $- ,"$3,982 ","$63,597 ","9,461"
16,TX,CONG. DIST (27),"53,398","$429,397 ","$273,740 ", $- ,"$31,741 ", $- , $- ,"$3,625 ","$120,291 ","14,426"
16,TX,CONG. DIST (28),"40,231","$421,442 ","$251,256 ",$374 ,"$35,970 ", $- , $- ,"$2,966 ","$130,877 ","15,276"
16,TX,CONG. DIST (29),"19,785","$207,710 ","$97,727 ", $- ,"$22,137 ", $- , $- ,"$1,785 ","$86,061 ","5,977"
16,TX,CONG. DIST (30),"32,598","$390,870 ","$129,427 ","$1,262 ","$25,750 ", $- ,"$8,765 ","$2,901 ","$222,765 ","13,931"
16,TX,CONG. DIST (31),"86,329","$1,108,157 ","$665,298 ","$6,860 ","$145,847 ", $- ,"$2,649 ","$6,254 ","$281,249 ","30,448"
16,TX,CONG. DIST (32),"34,178","$245,121 ","$137,489 ","$2,965 ","$27,323 ", $- , $- ,"$3,109 ","$74,236 ","6,885"
16,TX,CONG. DIST (33),"20,221","$239,810 ","$127,086 ", $- ,"$27,683 ", $- , $- ,"$2,229 ","$82,811 ","7,103"
16,TX,CONG. DIST (34),"30,473","$340,284 ","$197,894 ", $- ,"$20,214 ", $- ,"$1,098 ","$1,727 ","$119,351 ","11,122"
16,TX,CONG. DIST (35),"45,612","$598,398 ","$360,799 ",$675 ,"$70,518 ", $- , $- ,"$4,517 ","$161,889 ","16,376"
16,TX,CONG. DIST (36),"48,820","$353,573 ","$195,890 ", $- ,"$24,092 ", $- , $- ,"$2,614 ","$130,978 ","13,355"
,,,,,,,,,,,,
16,TX,TEXAS (Totals),"1,594,564","$16,117,918 ","$8,433,064 ","$37,786 ","$1,463,403 ","$1,126,987 ","$225,122 ","$116,304 ","$4,715,251 ","479,814"
