ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,TX,COTTLE,91,$723 ,$502 , $- ,$27 , $- , $- ,$33 ,$160 ,27
16,TX,CRANE,160,"$1,297 ",$844 , $- ,$45 , $- , $- ,$0 ,$409 ,41
16,TX,CROCKETT,152,$793 ,$444 , $- ,$13 , $- , $- ,$0 ,$336 ,45
16,TX,CROSBY,258,"$2,037 ","$1,164 ", $- ,$179 , $- , $- ,$0 ,$693 ,103
16,TX,CULBERSON,112,"$1,304 ",$905 , $- ,$45 , $- , $- ,$16 ,$338 ,52
16,TX,DALLAM,360,"$2,822 ","$1,473 ", $- ,$151 , $- , $- ,$14 ,"$1,184 ",140
16,TX,DALLAS,"101,081","$967,625 ","$442,195 ","$13,329 ","$87,934 ", $- ,"$8,223 ","$10,089 ","$405,855 ","30,043"
16,TX,DAWSON,533,"$3,583 ","$2,061 ", $- ,$129 , $- , $- ,$45 ,"$1,347 ",172
16,TX,DEAF SMITH,616,"$5,325 ","$2,024 ", $- ,$126 , $- , $- ,$24 ,"$3,151 ",256
16,TX,DELTA,557,"$4,084 ","$2,250 ", $- ,$170 , $- , $- ,$9 ,"$1,656 ",187
16,TX,DENTON,"41,188","$257,259 ","$149,812 ", $- ,"$42,125 ", $- , $- ,"$4,251 ","$61,070 ","8,620"
16,TX,DE WITT,"1,320","$8,540 ","$5,554 ", $- ,$305 , $- , $- ,$81 ,"$2,601 ",375
16,TX,DICKENS,174,"$1,612 ","$1,023 ", $- ,$91 , $- , $- , $- ,$498 ,56
16,TX,DIMMIT,394,"$3,592 ","$2,287 ", $- ,$143 , $- , $- ,$11 ,"$1,151 ",156
16,TX,DONLEY,261,"$2,007 ","$1,280 ", $- ,$29 , $- , $- ,$23 ,$675 ,75
16,TX,DUVAL,579,"$5,300 ","$3,509 ", $- ,$136 , $- , $- ,$14 ,"$1,642 ",197
16,TX,EASTLAND,"1,465","$11,993 ","$7,682 ", $- ,$407 , $- , $- ,$30 ,"$3,874 ",444
16,TX,ECTOR,"7,027","$45,796 ","$23,885 ", $- ,"$3,452 ", $- , $- ,$513 ,"$17,946 ","1,960"
16,TX,EDWARDS,151,"$1,084 ",$561 , $- ,$15 , $- , $- ,$0 ,$508 ,52
16,TX,ELLIS,"11,211","$93,382 ","$50,654 ", $- ,"$7,138 ", $- , $- ,$876 ,"$34,714 ","3,087"
16,TX,EL PASO,"57,806","$711,981 ","$414,133 ", $- ,"$100,550 ", $- ,"$2,301 ","$3,347 ","$191,650 ","23,392"
16,TX,ERATH,"2,074","$16,126 ","$9,048 ", $- ,"$1,623 ", $- , $- ,$16 ,"$5,439 ",576
16,TX,FALLS,"1,248","$16,384 ","$7,391 ", $- ,$275 , $- , $- ,$26 ,"$8,692 ",615
16,TX,FANNIN,"3,051","$45,751 ","$17,606 ",$12 ,"$1,229 ", $- ,$363 ,$117 ,"$26,423 ","1,603"
16,TX,FAYETTE,"1,782","$13,814 ","$7,948 ", $- ,$232 , $- , $- ,$140 ,"$5,494 ",573
16,TX,FISHER,301,"$2,314 ","$1,249 ", $- ,$39 , $- , $- ,$0 ,"$1,025 ",131
16,TX,FLOYD,342,"$2,187 ","$1,142 ", $- ,$142 , $- , $- ,$43 ,$859 ,122
16,TX,FOARD,90,"$1,235 ",$713 , $- ,$21 , $- , $- ,$0 ,$500 ,56
16,TX,FORT BEND,"27,837","$220,939 ","$121,993 ", $- ,"$20,186 ", $- , $- ,"$2,443 ","$76,317 ","7,344"
16,TX,FRANKLIN,862,"$5,610 ","$3,036 ", $- ,$142 , $- , $- ,$22 ,"$2,409 ",230
16,TX,FREESTONE,"1,262","$11,835 ","$6,377 ", $- ,$325 , $- , $- ,$77 ,"$5,056 ",526
16,TX,FRIO,930,"$6,285 ","$3,868 ", $- ,$278 , $- , $- ,$157 ,"$1,982 ",200
16,TX,GAINES,488,"$2,757 ","$1,644 ", $- ,$227 , $- , $- ,$4 ,$882 ,139
16,TX,GALVESTON,"23,973","$162,960 ","$89,896 ", $- ,"$15,369 ", $- , $- ,"$1,374 ","$56,320 ","5,920"
16,TX,GARZA,208,"$1,401 ",$808 , $- ,$50 , $- , $- ,$1 ,$542 ,78
16,TX,GILLESPIE,"2,335","$17,805 ","$10,757 ", $- ,$345 , $- , $- ,$396 ,"$6,306 ",657
16,TX,GLASSCOCK,52,$830 ,$66 , $- ,$10 , $- , $- , $- ,$754 ,68
16,TX,GOLIAD,543,"$2,946 ","$2,163 ", $- ,$73 , $- , $- ,$8 ,$702 ,120
16,TX,GONZALES,"1,119","$8,322 ","$4,976 ", $- ,$319 , $- , $- ,$42 ,"$2,985 ",276
16,TX,GRAY,"1,404","$10,041 ","$4,686 ", $- ,$195 , $- , $- ,$34 ,"$5,126 ",514
16,TX,GRAYSON,"9,490","$86,128 ","$53,767 ", $- ,"$3,808 ", $- , $- ,$574 ,"$27,978 ","3,670"
16,TX,GREGG,"8,437","$59,763 ","$36,218 ", $- ,"$4,927 ", $- , $- ,$449 ,"$18,169 ","2,223"
16,TX,GRIMES,"1,765","$13,417 ","$7,705 ", $- ,$520 , $- , $- ,$135 ,"$5,057 ",506
16,TX,GUADALUPE,"18,668","$254,307 ","$183,499 ", $- ,"$30,829 ", $- , $- ,"$1,575 ","$38,403 ","5,512"
16,TX,HALE,"1,383","$12,149 ","$6,449 ", $- ,"$1,010 ", $- , $- ,$107 ,"$4,582 ",489
16,TX,HALL,232,"$1,820 ",$789 , $- ,$32 , $- , $- ,$2 ,$997 ,117
16,TX,HAMILTON,798,"$5,436 ","$3,070 ", $- ,$140 , $- , $- ,$58 ,"$2,168 ",198
