State,Ratio
Alaska,8.942559471623122
Alabama,9.064776688846615
Arkansas,9.658490214021091
Arizona,7.423995728570041
California,8.760016781801427
Colorado,7.7526176597582035
Connecticut,6.41369574180484
DC,12.801745679794461
Delaware,5.97565597067183
Florida,8.015025215126768
Georgia,8.59230368842965
Guam,10.793315211919863
Hawaii,8.4853201586627
Iowa,6.47731258479123
Idaho,7.3213171999350335
Illinois,6.779102821131513
Indiana,6.719185625652505
Kansas,7.276496759644881
Kentucky,8.487582814695845
Louisiana,8.432744203526427
Maine,8.033596326619223
Massachusetts,7.30223839453082
Maryland,8.575174256306623
Maine,6.46663575939014
Michigan,7.64507561610377
Missouri,7.582818560232891
Mississippi,8.854764475254276
Montana,8.32097816556069
North Carolina,9.195710015887817
North Dakota,6.964702265434353
Nebraska,8.307797568475898
New Hampshire,6.709412776662751
New Jersey,5.9607259944336475
New Mexico,9.54662732237727
Nevada,8.785099731526694
New York,7.632892801058963
Ohio,6.572832981901799
Oklahoma,10.059858073537772
Oregon,8.636358363435406
Pennsylvania,6.26103391219706
Puerto Rico,19.38516966599656
Rhode Island,7.9718955246677865
South Carolina,8.941309277431749
South Dakota,9.384547675777396
Tennessee,8.693081321125966
Texas,9.23639439997391
Utah,7.845339294643645
Virginia,7.864229131420706
Vermont,7.357367125206117
Washington,7.122169993254655
Wisconsin,7.221821919348191
West Virginia,10.618034670942611
Wyoming,8.608758847320527
