State,Ratio
Alaska,7.8704623614826135
Alabama,7.774323139438012
Arkansas,8.58024995159104
Arizona,6.923072702020488
California,8.091259322054587
Colorado,7.287359971084502
Connecticut,5.971987276626853
DC,12.250152697658637
Delaware,5.381790211236653
Florida,7.698836208749642
Georgia,7.427039770152518
Guam,9.476561677025176
Hawaii,7.202727378363573
Iowa,6.078025009759157
Idaho,6.586070095364759
Illinois,6.140325291744971
Indiana,5.813857334668912
Kansas,6.368919859350964
Kentucky,7.4359729361038704
Louisiana,7.175989872145027
Maine,7.239266891772394
Massachusetts,6.580351542353744
Maryland,7.697836549992805
Maine,5.915545395676157
Michigan,7.03324850676628
Missouri,6.825506943591004
Mississippi,7.647483788473833
Montana,7.733838883615728
North Carolina,8.106176119418414
North Dakota,6.566285954524752
Nebraska,7.948333368740839
New Hampshire,6.244575317131853
New Jersey,5.163375993494487
New Mexico,8.664601603460842
Nevada,8.18716149871375
New York,7.1172779480879225
Ohio,5.973105347802916
Oklahoma,8.541456661853799
Oregon,7.899806335762308
Pennsylvania,5.715503830301603
Puerto Rico,17.24032302671608
Rhode Island,7.4154189688242536
South Carolina,8.161531921008827
South Dakota,8.92758168841307
Tennessee,7.746824837444781
Texas,8.170382901301409
Utah,6.994784763823358
Virginia,6.8237969730867265
Vermont,6.5296869754951326
Washington,6.487335828626809
Wisconsin,6.5675241355683225
West Virginia,9.189181034222644
Wyoming,8.40984790721939
