State,Ratio
Alaska,7.4384647873891305
Alabama,7.618587682354249
Arkansas,8.452790904787502
Arizona,6.547179099822249
California,7.543636137771609
Colorado,6.7517827285243825
Connecticut,5.418695529940962
DC,11.868331936295055
Delaware,5.049450056978962
Florida,7.234607377547599
Georgia,7.026697410749626
Guam,9.37607108854332
Hawaii,6.817374201492476
Iowa,5.731864194599728
Idaho,6.184629328902149
Illinois,5.794380348543117
Indiana,5.493219367476899
Kansas,6.0257226295850925
Kentucky,7.18419898426795
Louisiana,6.827615138802647
Maine,6.7353991342173725
Massachusetts,6.074586190669816
Maryland,7.393110332143924
Maine,5.593373416212456
Michigan,6.677788643610032
Missouri,6.48521480906086
Mississippi,7.216648743812078
Montana,7.259869939586135
North Carolina,7.545277541224743
North Dakota,6.211795452565554
Nebraska,7.60365475152572
New Hampshire,5.844694703501672
New Jersey,4.893386026013315
New Mexico,8.309896926449326
Nevada,7.529590794072631
New York,6.689894095745337
Ohio,5.693178500163304
Oklahoma,8.320246703656416
Oregon,7.502632435953105
Pennsylvania,5.411772723836054
Puerto Rico,16.336872586872587
Rhode Island,7.017661117750048
South Carolina,7.694662247278196
South Dakota,8.39566847147022
Tennessee,7.2868862819449385
Texas,7.792902718252244
Utah,6.394980193647466
Virginia,6.612833829032439
Vermont,5.966956092341879
Washington,6.141348159364371
Wisconsin,6.241632686604322
West Virginia,8.947739834483583
Wyoming,7.606924438722137
